Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG66	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG67	p__Euryarchaeota (UID3)	148	188	125	21	142	23	1	1	0	86.76	10.97	12.50
MAG68	k__Bacteria (UID203)	5449	104	58	12	72	14	6	0	0	81.03	16.90	43.75
MAG69	k__Archaea (UID2)	207	145	103	104	41	0	0	0	0	28.60	0.00	0.00
MAG7	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	62.07	0.00	0.00
MAG70	k__Bacteria (UID203)	5449	103	57	9	23	53	9	8	1	88.60	98.18	76.81
MAG71	k__Bacteria (UID1453)	901	171	117	54	115	2	0	0	0	60.68	1.14	50.00
MAG72	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG73	k__Archaea (UID2)	207	145	103	99	36	8	2	0	0	29.45	10.19	71.43
MAG74	k__Bacteria (UID203)	5449	104	58	93	8	3	0	0	0	6.46	0.47	0.00
MAG75	k__Archaea (UID2)	207	145	103	8	89	34	11	3	0	94.03	49.68	71.76
MAG76	c__Gammaproteobacteria (UID4267)	119	544	284	434	109	1	0	0	0	15.76	0.35	0.00
MAG77	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG78	k__Bacteria (UID203)	5449	104	58	58	36	8	2	0	0	64.29	20.69	50.00
MAG79	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG8	k__Bacteria (UID3187)	2258	188	117	11	115	48	12	1	1	96.10	57.18	78.00
MAG80	k__Archaea (UID2)	207	149	107	83	66	0	0	0	0	43.65	0.00	0.00
MAG81	k__Archaea (UID2)	207	149	107	139	10	0	0	0	0	3.94	0.00	0.00
MAG82	k__Archaea (UID2)	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG83	k__Archaea (UID2)	207	149	107	128	6	8	5	2	0	7.25	4.88	0.00
MAG84	f__Rhodobacteraceae (UID3340)	84	568	330	48	323	158	37	2	0	93.07	41.68	48.04
MAG85	k__Archaea (UID2)	207	149	107	143	6	0	0	0	0	1.29	0.00	0.00
MAG86	k__Archaea (UID2)	207	145	103	108	33	2	2	0	0	29.13	3.40	100.00
MAG87	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG88	f__Rhodobacteraceae (UID3356)	67	615	329	89	473	43	10	0	0	87.97	8.67	93.15
MAG89	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG9	k__Bacteria (UID2565)	2921	143	88	8	111	23	0	1	0	92.05	19.22	48.28
MAG90	k__Bacteria (UID2565)	2921	152	93	67	85	0	0	0	0	60.44	0.00	0.00
MAG91	p__Euryarchaeota (UID3)	148	188	125	67	109	12	0	0	0	67.79	6.56	0.00
MAG92	k__Bacteria (UID2495)	2993	147	91	72	73	2	0	0	0	65.13	2.20	50.00
MAG93	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG94	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG95	p__Proteobacteria (UID3880)	1495	261	164	43	196	22	0	0	0	93.09	10.57	90.91
MAG96	c__Gammaproteobacteria (UID4443)	356	451	270	32	292	105	20	2	0	91.45	37.84	83.62
MAG97	o__Rickettsiales (UID3809)	83	324	211	176	133	10	5	0	0	50.07	6.32	72.00
MAG98	k__Archaea (UID2)	207	149	107	131	16	2	0	0	0	5.38	0.14	50.00
MAG99	k__Archaea (UID2)	207	149	107	61	88	0	0	0	0	57.81	0.00	0.00
